rule_id,country_id,country_id_NAME_TEMP,item_id,item_id_NAME_TEMP,reason_comment
RC0039,VN,베트남,I0009,경량 패딩·방한복,북부(하노이·하롱)의 12~2월은 생각보다 쌀쌀해요
RC0041,VN,베트남,I0087,KF94 마스크,하노이와 호치민의 대기오염이 심한 편이에요
RC0042,VN,베트남,I0095,말라리아 예방약,하노이·호치민·다낭·나트랑 등 주요 관광지는 말라리아 위험 지역이 아니에요
RC0043,TH,태국,I0025,벌레기피제,뎅기열이 전국에 상재하고 우기(7~10월)에 정점이에요. 낮에 무는 모기라 주간에도 필요해요
RC0044,TH,태국,I0092,리프세이프(무기자차) 자외선차단제,시밀란·피피 같은 해양국립공원은 옥시벤존·옥티녹세이트가 든 선크림을 쓰면 최대 10만 바트 벌금이에요. 산화아연·이산화티타늄 성분으로 바꿔 가세요
RC0045,TH,태국,I0041,전자 입국신고 QR 캡처,2025년 5월부터 TDAC(태국 디지털 입국카드) 제출이 의무예요. 도착 72시간 이내에 tdac.immigration.go.th에서 무료로 하세요. 돈을 받는 사칭 사이트가 많으니 주소를 꼭 확인하세요
RC0046,TH,태국,I0068,긴바지·롱스커트,왕궁·사원은 어깨·무릎은 물론 발목까지 가려야 하고 레깅스도 안 돼요
RC0047,TH,태국,I0027,전자담배·액상(휴대 여부 확인용),"태국은 전자담배와 아이코스 반입이 불법이고 처벌이 가장 무거워요. 수입 위반은 최대 징역 10년 또는 벌금 50만 바트, 길거리 단속만으로도 2~3만 바트 벌금이에요"
RC0050,TH,태국,I0004,해외용 멀티 어댑터,전압은 220V로 같지만 A·B타입 콘센트만 있는 숙소가 흔해요
RC0051,TH,태국,I0080,휴대용 티슈(포켓 티슈),공중화장실에 휴지가 없고 물 분사기를 쓰는 곳이 많아요. 쓴 휴지는 옆 휴지통에 버려요
RC0052,TH,태국,I0082,지사제·정장제,수돗물을 마실 수 없고 노점 음식은 위생 편차가 커요
RC0053,TH,태국,I0038,영문 처방전·의사 소견서,"의약품은 30일분까지예요. 코데인·모르핀 계열은 출발 2주 전 사전 허가와 세관 신고가 필요하고, 수면제·항불안제는 영문 처방전만 있으면 돼요"
RC0054,TH,태국,I0073,우비·판초,"푸켓·끄라비는 5~10월, 사무이·팡안은 10~12월이 우기예요. 해안마다 반대예요"
RC0055,TH,태국,I0087,KF94 마스크,치앙마이 등 북부는 2~4월에 농업 소각으로 초미세먼지가 최악이에요
RC0057,TH,태국,I0095,말라리아 예방약,방콕·치앙마이·푸켓 등 주요 관광지는 말라리아 위험 지역이 아니에요
RC0058,PH,필리핀,I0004,해외용 멀티 어댑터,필리핀은 220V로 같지만 A·B타입(11자) 콘센트라 어댑터가 필요해요
RC0059,PH,필리핀,I0025,벌레기피제,뎅기열이 최대 보건 위험이고 마닐라·세부 같은 도시에서도 발생해요. 유행기는 6~11월이에요
RC0060,PH,필리핀,I0041,전자 입국신고 QR 캡처,eTravel 등록이 의무예요. 도착 72시간 이내에 etravel.gov.ph에서 무료로 하고 통화 신고도 함께 처리할 수 있어요
RC0061,PH,필리핀,I0039,소액권 현금(팁·잔돈용),섬 게스트하우스·트라이시클·재래시장은 현금만 받아요. 소액권을 확보하세요
RC0062,PH,필리핀,I0049,손전등·헤드랜턴,정전(브라운아웃)이 잦아요. 계획 정전도 4~5시간이고 태풍 뒤에는 며칠씩 이어지기도 해요
RC0063,PH,필리핀,I0074,방수 재킷(레인셸),"태풍 시즌이 6~11월, 정점이 7~10월이에요. 항공 지연과 페리 결항에 대비해 일정에 여유를 두세요"
RC0064,PH,필리핀,I0082,지사제·정장제,마닐라와 세부를 포함해 수돗물은 마실 수 없어요
RC0065,PH,필리핀,I0093,벌레 물림 치료제,모기에 물릴 일이 많아요
RC0066,PH,필리핀,I0038,영문 처방전·의사 소견서,체류 기간에 필요한 양만 허용돼요. 처방약은 병명과 용량이 적힌 영문 소견서를 함께 챙기세요
RC0067,PH,필리핀,I0027,전자담배·액상(휴대 여부 확인용),필리핀은 전자담배 반입이 합법이에요. 다만 태국·베트남·싱가포르를 경유한다면 그 나라 규정이 적용되니 조심하세요
RC0069,PH,필리핀,I0095,말라리아 예방약,마닐라·세부·보라카이 등 일반 관광지는 말라리아 위험이 없어요. 팔라완 오지나 민다나오 농촌만 예방약을 고려하세요
RC0070,SG,싱가포르,I0004,해외용 멀티 어댑터,싱가포르는 영국식 Type G 콘센트(230V)를 사용해 어댑터가 꼭 필요해요
RC0071,SG,싱가포르,I0027,전자담배·액상(휴대 여부 확인용),"2026년 5월 1일 시행된 TVCA로 처벌이 크게 강해졌어요. 소지·사용만으로 최대 S$10,000, 반입은 최대 징역 9년에 벌금 S$300,000이에요. 위탁수하물에 넣어도 예외가 없어요"
RC0074,SG,싱가포르,I0038,영문 처방전·의사 소견서,3개월분까지는 그대로 반입할 수 있지만 수면제·항불안제·ADHD약·코데인 감기약은 출발 2주 전 HSA 사전 승인이 필요해요. 처방전과 승인 메일을 함께 챙기세요
RC0075,SG,싱가포르,I0061,얇은 카디건·바람막이,바깥은 33도인데 쇼핑몰·MRT·식당 냉방이 20도 수준이에요
RC0076,SG,싱가포르,I0041,전자 입국신고 QR 캡처,SG Arrival Card는 전원 의무예요. 도착일 포함 3일 전부터만 제출할 수 있고 무료예요. 돈을 받는 대행 사이트를 조심하세요
RC0077,SG,싱가포르,I0025,벌레기피제,뎅기열이 연중 상존해요. 다만 말라리아는 없어요
RC0078,SG,싱가포르,I0068,긴바지·롱스커트,술탄 모스크 등 종교시설은 어깨와 무릎을 가려야 해요
RC0079,SG,싱가포르,I0039,소액권 현금(팁·잔돈용),팁 문화가 없고 서비스차지·GST가 자동 청구돼요. 카드로 충분해요
RC0082,US,미국,I0004,해외용 멀티 어댑터,미국은 A·B타입(11자) 콘센트를 써요
RC0083,US,미국,I0039,소액권 현금(팁·잔돈용),팁이 필수예요. 하우스키핑·벨보이용 1달러 지폐를 20~30장 준비하세요
RC0084,US,미국,I0041,전자 입국신고 QR 캡처,"ESTA는 탑승 전에 받아야 해요. 2025년 9월 30일부터 수수료가 21달러에서 약 40달러로 올랐고, 여권을 재발급했다면 다시 신청해야 해요"
RC0088,US,미국,I0058,변압기(220V 전용 발열기기용),미국은 120V라 220V 전용 고데기·드라이기는 고장 나요. 충전기는 괜찮아요
RC0089,US,미국,I0082,지사제·정장제,미국 약은 성분·용량 체계가 달라요. 의료비도 비싸니 익숙한 약으로
RC0090,US,미국,I0061,얇은 카디건·바람막이,여름에도 식당·극장·호텔 냉방이 매우 강해요
RC0091,US,미국,I0037,국제운전면허증,도시를 벗어나면 렌터카가 전제예요. 도심만 다닌다면 필요 없어요
RC0092,US,미국,I0088,립밤,덴버·산타페·국립공원 같은 고지대는 매우 건조해요
RC0093,CN,중국,I0169,알리페이·위챗페이 사전 등록,알리페이·위챗페이는 출국 전에 여권 실명인증과 카드 등록을 끝내두세요
RC0094,CN,중국,I0171,비자·입국 요건 확인,"한국 일반여권은 2026년 12월 31일까지 30일 무비자예요. 관광·상용·친지방문 등 5개 목적만 해당되고, 30일을 넘기거나 취업·유학이면 비자를 미리 받아야 해요"
RC0095,CN,중국,I0172,VPN 앱 사전 설치,현지 유심을 쓰면 구글·카톡이 막혀요. 중국에서는 VPN을 받을 수 없으니 출국 전에 설치하세요
