rule_id,activity_id,activity_id_NAME_TEMP,item_id,item_id_NAME_TEMP,reason_comment
RA0042,swimming,수영·물놀이,I0092,리프세이프(무기자차) 자외선차단제,"하와이, 팔라우, 태국 해양공원은 옥시벤존·옥티녹세이트가 든 선크림을 법으로 금지해요"
RA0043,swimming,수영·물놀이,I0014,물안경,스노클링처럼 시야 확보가 필요할 때 유용해요
RA0044,swimming,수영·물놀이,I0101,속건 타월,부피가 작고 빨리 말라서 물놀이용으로 좋아요
RA0045,swimming,수영·물놀이,I0142,문신 커버 씰,일본 수영장과 워터파크는 큰 문신의 입장을 제한해요
RA0046,amusement_park,놀이공원,I0073,우비·판초,대기줄에서는 우산을 쓰기 어려워요. 파크 밖에서 미리 사면 훨씬 싸요
RA0047,amusement_park,놀이공원,I0147,셀카봉,도쿄디즈니와 유니버설 스튜디오 재팬 모두 셀카봉·삼각대·일각대의 반입과 사용을 금지해요
RA0049,amusement_park,놀이공원,I0039,소액권 현금(팁·잔돈용),"코인로커가 현금 전용인 곳이 많아요(도쿄디즈니 500~1,500엔)"
RA0050,amusement_park,놀이공원,I0051,휴대용 선풍기,여름 일본 놀이공원은 그늘이 거의 없어요
RA0052,amusement_park,놀이공원,I0094,핫팩,겨울에는 줄을 서서 기다리는 시간이 길어요
RA0054,spa,온천·스파,I0143,머리끈,긴 머리는 물에 닿지 않게 묶는 것이 규칙이에요
RA0055,spa,온천·스파,I0142,문신 커버 씰,문신이 있으면 입욕을 제한하는 곳이 많아요. 전신 문신은 대절탕을 예약하세요
RA0056,spa,온천·스파,I0039,소액권 현금(팁·잔돈용),"입욕료, 코인로커, 자판기가 현금이나 동전인 곳이 많아요"
RA0057,spa,온천·스파,I0089,보습제·인공눈물,온천 후에는 피부가 많이 건조해져요
RA0058,spa,온천·스파,I0176,개인 수건,료칸·대형 온천은 빌려주지만 소규모 시설은 없는 곳이 많아요
RA0060,winter_sports,겨울 스포츠,I0137,스키·보드 고글,위생상 대여하지 않는 렌탈샵이 대부분이에요. 설맹과 눈보라에 대비해 꼭 본인 것을 챙기세요
RA0061,winter_sports,겨울 스포츠,I0138,방수 스키 장갑,고글과 마찬가지로 위생상 대여가 안 되는 품목이에요
RA0062,winter_sports,겨울 스포츠,I0010,방한 모자·장갑,활동 중 체온 유지에 필요해요
RA0063,winter_sports,겨울 스포츠,I0069,발열내의(베이스레이어),
RA0064,winter_sports,겨울 스포츠,I0070,두꺼운 스포츠 양말,무릎 아래까지 오는 스키 전용 양말이어야 해요. 너무 두꺼우면 부츠가 발을 압박해요
RA0065,winter_sports,겨울 스포츠,I0011,자외선차단제,눈에 반사된 자외선은 여름 해변만큼 강해요
RA0066,winter_sports,겨울 스포츠,I0088,립밤,설면 반사와 찬 바람으로 입술이 금방 터요
RA0067,winter_sports,겨울 스포츠,I0075,넥워머·버프,리프트를 타고 오르는 동안 얼굴이 가장 시려워요
RA0068,winter_sports,겨울 스포츠,I0094,핫팩,장갑 안에 하나 넣어두면 손가락이 굳지 않아요
RA0071,temple,종교시설·사원,I0023,어깨·무릎 가리는 겉옷,사원은 어깨와 무릎이 드러나는 옷의 입장을 제한하는 경우가 많아요
RA0072,temple,종교시설·사원,I0068,긴바지·롱스커트,태국 왕궁은 발목까지 가려야 해요. 바티칸은 입구 노점에서 사야 해요
RA0073,temple,종교시설·사원,I0067,스카프·숄,어깨와 머리를 동시에 가릴 수 있고 부피가 거의 없어요
RA0074,temple,종교시설·사원,I0076,벗고 신기 쉬운 신발,사원과 모스크는 신발을 벗는 곳이 많아요. 끈 많은 운동화보다 슬립온이 훨씬 편해요
RA0075,temple,종교시설·사원,I0039,소액권 현금(팁·잔돈용),사롱 대여 보증금이나 시주에 소액 현금이 필요해요
RA0077,festival,"페스티벌, 야외공원",I0105,투명 가방(클리어백),대형 페스티벌은 투명 가방 규정이 흔해요. 보통 30×15×30cm 이내예요
RA0078,festival,"페스티벌, 야외공원",I0050,노이즈캔슬링 이어폰·귀마개,청력 보호용 이어플러그는 현장에서도 팔지만 매진이 잦아요
RA0079,festival,"페스티벌, 야외공원",I0073,우비·판초,후지록을 비롯해 우산 사용을 전면 금지하는 페스티벌이 많아요
RA0080,festival,"페스티벌, 야외공원",I0106,돗자리,잔디와 벤치가 젖어 있는 경우가 많아요
RA0081,festival,"페스티벌, 야외공원",I0049,손전등·헤드랜턴,야간 이동에 필요할 수도 있어요
RA0082,festival,"페스티벌, 야외공원",I0039,소액권 현금(팁·잔돈용),통신이 폭주하면 카드 결제가 안 돼요
RA0083,festival,"페스티벌, 야외공원",I0080,휴대용 티슈(포켓 티슈),페스티벌 화장실에는 휴지가 없는 경우가 많아요
RA0084,festival,"페스티벌, 야외공원",I0107,접이식 의자,장시간 바닥에 앉아야 할 수도 있어서 없으면 많이 힘들어요
RA0085,swimming,수영·물놀이,I0162,스노클 장비,
RA0086,amusement_park,놀이공원,I0066,선글라스,
RA0087,amusement_park,놀이공원,I0107,접이식 의자,
RA0088,festival,"페스티벌, 야외공원",I0163,양산,"페스티벌은 야외 운동장에서 진행되는 경우가 많아, 강한 햇빛과 자외선을 차단하기 위해 필요해요"
RA0089,festival,"페스티벌, 야외공원",I0065,챙 넓은 모자,
RA0090,festival,"페스티벌, 야외공원",I0066,선글라스,
RA0091,festival,"페스티벌, 야외공원",I0051,휴대용 선풍기,
RA0092,camping,캠핑,I0164,개인 식기·수저·컵,캠핑장 매점이 없거나 일찍 닫는 곳이 많아요
RA0093,hiking,하이킹·등산,I0165,등산 배낭,물·행동식·여벌옷을 함께 메려면 20~30L는 필요해요
RA0094,golf,골프,I0066,선글라스,페어웨이 반사광이 세서 눈이 금방 피로해져요
RA0095,spa,온천·스파,I0175,헤어캡(샤워캡),탕에 머리카락이 들어가지 않게 감싸요. 습식 사우나에서도 유용해요
RA0096,temple,종교시설·사원,I0177,신발 주머니,벗은 신발을 직접 들고 들어가야 하는 사원이 많아요
