map_id,item_id,item_id_NAME_TEMP,category_id,category_id_NAME_TEMP
M0073,I0003,상비약(해열/진통/소화제),base,기본
M0074,I0029,기초 세면도구(칫솔·치약·클렌저 등),base,기본
M0075,I0034,여권 사본·여권용 사진 2매,base,기본
M0076,I0035,숙소 예약 바우처(오프라인 저장),base,기본
M0077,I0046,충전 케이블(기내용 짧은 것),base,기본
M0078,I0062,편한 운동화,base,기본
M0079,I0085,밴드·소독약(상처 키트),base,기본
M0080,I0091,안경·여분 렌즈·렌즈 용액,base,기본
M0081,I0099,지퍼백·비닐봉투,base,기본
M0082,I0040,예비 신용카드(다른 브랜드 1장),base,기본
M0083,I0033,카메라,base,기본
M0084,I0090,생리용품,base,기본
M0085,I0100,접이식 보조가방(에코백),base,기본
M0086,I0154,목베개·안대,base,기본
M0087,I0155,충전기,base,기본
M0088,I0156,옷,base,기본
M0089,I0157,속옷,base,기본
M0090,I0158,양말,base,기본
M0091,I0159,작은 가방,base,기본
M0092,I0160,기초 화장품,base,기본
M0093,I0161,샤워 용품,base,기본
M0094,I0173,압축 파우치,base,기본
M0095,I0174,손톱깎이·면봉 등 위생용품,base,기본
M0096,I0033,카메라,photo,사진 여행
M0097,I0053,카메라 여분 배터리,photo,사진 여행
M0098,I0052,여분 메모리카드·카드리더기,photo,사진 여행
M0099,I0022,삼각대·짐벌,photo,사진 여행
M0100,I0012,방수팩(드라이백),photo,사진 여행
M0101,I0049,손전등·헤드랜턴,camping,캠핑
M0102,I0024,텐트·침낭,camping,캠핑
M0103,I0144,침낭 라이너,camping,캠핑
M0104,I0074,방수 재킷(레인셸),camping,캠핑
M0105,I0063,슬리퍼·샌들,camping,캠핑
M0106,I0025,벌레기피제,camping,캠핑
M0107,I0107,접이식 의자,camping,캠핑
M0108,I0108,보온병,camping,캠핑
M0109,I0164,개인 식기·수저·컵,camping,캠핑
M0110,I0015,등산화,hiking,하이킹·등산
M0111,I0070,두꺼운 스포츠 양말,hiking,하이킹·등산
M0112,I0086,물집 예방 테이프,hiking,하이킹·등산
M0113,I0049,손전등·헤드랜턴,hiking,하이킹·등산
M0114,I0074,방수 재킷(레인셸),hiking,하이킹·등산
M0115,I0016,등산 스틱,hiking,하이킹·등산
M0116,I0109,행동식(에너지바·견과),hiking,하이킹·등산
M0117,I0045,오프라인 지도·번역 앱 다운로드,hiking,하이킹·등산
M0118,I0065,챙 넓은 모자,hiking,하이킹·등산
M0119,I0146,게이터(각반),hiking,하이킹·등산
M0120,I0165,등산 배낭,hiking,하이킹·등산
M0121,I0135,골프 장갑,golf,골프
M0122,I0079,칼라 있는 셔츠(골프 드레스코드),golf,골프
M0123,I0017,골프 클럽(위탁수하물 별도 신고),golf,골프
M0124,I0136,골프화,golf,골프
M0125,I0011,자외선차단제,golf,골프
M0126,I0065,챙 넓은 모자,golf,골프
M0127,I0039,소액권 현금(팁·잔돈용),golf,골프
M0128,I0073,우비·판초,golf,골프
M0129,I0066,선글라스,golf,골프
M0130,I0013,수영복,swimming,수영·물놀이
M0131,I0012,방수팩(드라이백),swimming,수영·물놀이
M0132,I0071,수영모,swimming,수영·물놀이
M0133,I0064,래시가드,swimming,수영·물놀이
M0134,I0072,아쿠아슈즈·물놀이 신발,swimming,수영·물놀이
M0135,I0092,리프세이프(무기자차) 자외선차단제,swimming,수영·물놀이
M0136,I0014,물안경,swimming,수영·물놀이
M0137,I0101,속건 타월,swimming,수영·물놀이
M0138,I0142,문신 커버 씰,swimming,수영·물놀이
M0139,I0162,스노클 장비,swimming,수영·물놀이
M0140,I0073,우비·판초,amusement_park,놀이공원
M0141,I0147,셀카봉,amusement_park,놀이공원
M0142,I0039,소액권 현금(팁·잔돈용),amusement_park,놀이공원
M0143,I0051,휴대용 선풍기,amusement_park,놀이공원
M0144,I0094,핫팩,amusement_park,놀이공원
M0145,I0066,선글라스,amusement_park,놀이공원
M0146,I0107,접이식 의자,amusement_park,놀이공원
M0147,I0143,머리끈,spa,온천·스파
M0148,I0142,문신 커버 씰,spa,온천·스파
M0149,I0039,소액권 현금(팁·잔돈용),spa,온천·스파
M0150,I0089,보습제·인공눈물,spa,온천·스파
M0151,I0176,개인 수건,spa,온천·스파
M0152,I0175,헤어캡(샤워캡),spa,온천·스파
M0153,I0137,스키·보드 고글,winter_sports,겨울 스포츠
M0154,I0138,방수 스키 장갑,winter_sports,겨울 스포츠
M0155,I0010,방한 모자·장갑,winter_sports,겨울 스포츠
M0156,I0069,발열내의(베이스레이어),winter_sports,겨울 스포츠
M0157,I0070,두꺼운 스포츠 양말,winter_sports,겨울 스포츠
M0158,I0011,자외선차단제,winter_sports,겨울 스포츠
M0159,I0088,립밤,winter_sports,겨울 스포츠
M0160,I0075,넥워머·버프,winter_sports,겨울 스포츠
M0161,I0094,핫팩,winter_sports,겨울 스포츠
M0162,I0023,어깨·무릎 가리는 겉옷,temple,종교시설·사원
M0163,I0068,긴바지·롱스커트,temple,종교시설·사원
M0164,I0067,스카프·숄,temple,종교시설·사원
M0165,I0076,벗고 신기 쉬운 신발,temple,종교시설·사원
M0166,I0039,소액권 현금(팁·잔돈용),temple,종교시설·사원
M0167,I0177,신발 주머니,temple,종교시설·사원
M0168,I0105,투명 가방(클리어백),festival,"페스티벌, 야외공원"
M0169,I0050,노이즈캔슬링 이어폰·귀마개,festival,"페스티벌, 야외공원"
M0170,I0073,우비·판초,festival,"페스티벌, 야외공원"
M0171,I0106,돗자리,festival,"페스티벌, 야외공원"
M0172,I0049,손전등·헤드랜턴,festival,"페스티벌, 야외공원"
M0173,I0039,소액권 현금(팁·잔돈용),festival,"페스티벌, 야외공원"
M0174,I0080,휴대용 티슈(포켓 티슈),festival,"페스티벌, 야외공원"
M0175,I0107,접이식 의자,festival,"페스티벌, 야외공원"
M0176,I0163,양산,festival,"페스티벌, 야외공원"
M0177,I0065,챙 넓은 모자,festival,"페스티벌, 야외공원"
M0178,I0066,선글라스,festival,"페스티벌, 야외공원"
M0179,I0051,휴대용 선풍기,festival,"페스티벌, 야외공원"
